               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,              0.0206,           0.0095274,            0.001878,             0.97062,                   1,             0.99371,             0.80635,            0.014811,           0.0040278,          0.00059246,              0.0034,              0.0034,              0.0034
                 102,             0.02475,            0.010801,           0.0040211,             0.97207,                   1,             0.99375,             0.81173,            0.010803,           0.0038889,          0.00056289,            0.003334,            0.003334,            0.003334
                 103,            0.022793,            0.009642,           0.0036717,             0.97137,                   1,             0.99371,             0.83051,            0.010899,           0.0038361,          0.00054728,            0.003268,            0.003268,            0.003268
                 104,            0.023041,            0.010856,           0.0029349,             0.97101,                   1,             0.99375,             0.82544,            0.011039,           0.0038043,          0.00053805,            0.003202,            0.003202,            0.003202
                 105,            0.022397,            0.010009,           0.0035893,             0.99518,             0.99169,             0.99496,             0.83469,            0.010387,           0.0038737,          0.00051783,            0.003136,            0.003136,            0.003136
                 106,            0.023084,           0.0097396,            0.005356,             0.97777,             0.99963,             0.99375,              0.8102,            0.011214,            0.003933,          0.00048891,             0.00307,             0.00307,             0.00307
                 107,            0.020963,            0.010023,           0.0032522,             0.99886,              0.9935,               0.995,             0.81312,            0.010903,           0.0039896,          0.00046398,            0.003004,            0.003004,            0.003004
                 108,            0.019886,           0.0097916,            0.005027,             0.99594,             0.99239,             0.99496,             0.81776,            0.010917,           0.0040258,          0.00044865,            0.002938,            0.002938,            0.002938
                 109,             0.02181,           0.0099293,           0.0035416,              0.9736,             0.99583,             0.99371,             0.80521,            0.011033,            0.004041,          0.00044296,            0.002872,            0.002872,            0.002872
                 110,            0.018891,           0.0095133,           0.0020822,             0.87069,                   1,             0.96537,             0.80451,            0.010992,           0.0040055,          0.00045824,            0.002806,            0.002806,            0.002806
